2,-1,1641,2.74731,869.721,1001,0.0405,0.03,0.202,0.011,0.005,0.0131,0.0031,0.01,0.0393,0.003,0.0009,0.0003,0.0006,0,1,0,0,1268.56,1222.64,1198.5,1200.6,1227.21,1667.46,31.0218,1051.73,27.7,15,47.7,1,1,0.939325,10.4679,31.4532,1.91058,412.158,81.817,0.503389,0,15.8332,0.699949,14.6076,0.330484,684.125,996.882,949.093,0.0198592,0.718231,0.519589,8,824.315,6616.76,28309.104
3,-1,1566,2.74731,879.779,1001,0.0422,0.019,0.221,0.011,0.005,0.0131,0.0041,0.008,0.0478,0.003,0.0008,0.0004,0.0002,1,0,0,0,1254.85,1231.58,1218.16,1213.28,1214.77,1590.35,31.0067,1094.33,26.7,15,46.7,1,1,0.848085,10.5049,31.4586,1.57548,412.158,77.8754,0.456261,0,14.3533,0.609286,11.1337,0.334175,628.369,1019.43,970.268,0.0201975,0.72326,0.452722,8,824.315,6525.05,24640.23
4,-1,1547,2.74731,880.811,1001,0.0419,0.016,0.183,0.023,0.008,0.0189,0.0092,0.011,0.0386,0.004,0.0011,0.0002,0.0009,0,0,0,1,1248.45,1221.51,1202.72,1196.03,1198.42,1576.39,31.0281,1069.41,27.7,15,47.7,1,1,0.935181,10.5182,31.453,1.70945,412.158,77.8961,0.456235,0,14.3499,0.609238,12.2771,0.334317,647.444,1006.28,958.138,0.0205002,0.717104,0.464591,8,824.315,6531.03,24294.998
5,-1,1510,3.5801,880.188,2002,0.0545,0.005,0.456,0.025,0.008,0.0177,0.007,0.012,0.0299,0.002,0.0011,0.0012,0.0148,0,0,1,0,1255.23,1239.04,1225.37,1220.82,1217.52,1528.34,35.0034,1093.87,25.7,15,45.7,1,1,0.799502,13.4798,35.5192,1.43418,412.158,81.44,0.442536,0,15.7185,0.584357,9.41277,0.318857,651.899,1049.71,1000.6,0.0208268,0.72677,0.434029,88,824.315,6501.12,23376.79
6,-1,1510,3.5801,879.571,2002,0.0545,0.005,0.456,0.025,0.008,0.0177,0.007,0.012,0.0299,0.002,0.0011,0.0012,0.0148,0,1,0,0,1267.65,1240.73,1221.65,1220.26,1226.97,1527.99,35.0162,1087,26.7,15,46.7,1,1,0.799496,13.4798,35.5195,1.4556,412.158,81.4444,0.442537,0,15.7187,0.584359,9.41269,0.318869,654.537,1047.36,998.44,0.0210702,0.735586,0.562374,31,824.315,6505.06,23309.885
7,-1,1510,3.5801,877.462,2002,0.0545,0.005,0.456,0.025,0.008,0.0177,0.007,0.012,0.0299,0.002,0.0011,0.0012,0.0148,1,0,0,0,1253.51,1242.16,1231.58,1224.52,1220.21,1527.92,35.0025,1090,26.7,15,46.7,1,1,0.799516,13.4798,35.5186,1.46743,412.158,81.4461,0.442533,0,15.7182,0.584352,9.41292,0.318883,656.62,1045.52,996.68,0.0213599,0.744709,0.669548,68,824.315,6505.32,23152.572
9,-1,1306,5.59348,898.628,2002,0.0655,0.01,0.578,0.031,0.006,0.0195,0.0054,0.013,0.0398,0.002,0.0008,0.0002,0.0116,0,0,1,0,1248.74,1244.83,1236.17,1226.7,1213.6,1323.2,37.9904,1092.8,26.7,15,46.7,1,1,0.901359,13.4886,38.5514,1.46265,412.158,78.9881,0.383751,0,14.7941,0.484104,8.31203,0.3201,615.718,1054.21,1007.01,0.0219157,0.763104,0.681206,0,824.315,6331.73,17674.777
25,-1,1111,5.59348,897.715,2002,0.0655,0.01,0.578,0.031,0.006,0.0195,0.0054,0.013,0.0398,0.002,0.0008,0.0002,0.0116,0,0,1,0,1247.92,1236.06,1225.42,1216.56,1210.39,1123.19,38.0075,1070.53,26.7,15,46.7,1,1,0.960532,13.4886,38.5534,1.55183,412.158,79.5728,0.389175,0,15.004,0.492944,9.02403,0.318925,640.408,1036.18,990.057,0.0286751,0.77563,0.8,0,824.315,6206.31,16276.05
49,-1,1304,5.59348,900.858,1001,0.0358,0.006,0.207,0.024,0.008,0.0162,0.0071,0.011,0.0413,0.003,1e-04,1e-04,0.0002,0,0,1,0,1244.95,1227.31,1213.99,1206.15,1207.07,1326.45,42.0037,1058.87,25.7,15,45.7,1,1,0.831911,11.7109,42.6075,1.35002,408.044,83.2011,0.389941,0,16.6144,0.4942,7.49162,0.305812,624.127,1029.84,968.521,0.0018677,0.362152,0.583345,0,816.089,6347.63,18938.553
61,-1,1286,2.34728,880.334,1001,0.0403,0.005,0.229,0.02,0.006,0.0142,0.007,0.011,0.035,0.001,0.0003,1e-04,0.0002,0,0,1,0,1249.82,1230.86,1218.62,1211.28,1211.97,1299,30.9877,1099.53,27.7,15,47.7,1,1,0.800907,11.7832,31.4452,1.66567,408.044,83.4378,0.528785,0,16.6278,0.75244,13.758,0.32825,717.647,1019.61,970.677,0.00454519,0.580284,0.363188,0,816.089,6406.89,23542.463
69,-1,1059,2.8617,906.099,1009,0.0324,0.008,0.231,0.021,0.008,0.0111,0.0076,0.009,0.05,0.002,0.0002,0.0002,0.0003,1,0,0,0,1247.03,1233.91,1225.78,1219.2,1214.05,1077.21,34.9918,1076.33,26.7,15,46.7,1,1,0.814065,10.4874,35.4977,1.56723,408.044,84.7816,0.485766,0,17.2435,0.665076,11.2331,0.311461,638.346,1022.04,973.31,0.00767175,0.630327,0.457366,0,816.089,6215.01,18420.709
